id	title	state	agency	type	types	categories	status	status_date	enacted_date	amended_date	significant_update_date	text
284	Congestion Mitigation and Air Quality (CMAQ) Improvement Program	US	U.S. Department of Transportation	Incentives	[{'id': 8, 'title': 'Incentives', 'code': 'INC'}]	[{'code': 'STATION', 'title': 'Alternative Fuel Infrastructure Operator', 'category_type': 'user'}, {'code': 'BIOD', 'title': 'Biodiesel', 'category_type': 'tech'}, {'code': 'FLEET', 'title': 'Commercial', 'category_type': 'user'}, {'code': 'ETH', 'title': 'Ethanol', 'category_type': 'tech'}, {'code': 'ELEC', 'title': 'EVs', 'category_type': 'tech'}, {'code': 'GOV', 'title': 'Government Entity', 'category_type': 'user'}, {'code': 'GNT', 'title': 'Grants', 'category_type': 'incentive'}, {'code': 'HY', 'title': 'Hydrogen Fuel Cells', 'category_type': 'tech'}, {'code': 'IR', 'title': 'Idle Reduction', 'category_type': 'tech'}, {'code': 'NG', 'title': 'Natural Gas', 'category_type': 'tech'}, {'code': 'PHEV', 'title': 'PHEVs', 'category_type': 'tech'}, {'code': 'LPG', 'title': 'Propane (LPG)', 'category_type': 'tech'}]	amended	2021-11-15	2005-08-10T00:00:00Z	2021-11-15T00:00:00Z	11/29/2021	<p>The CMAQ Program provides funding to state departments of transportation (DOTs), local governments, and transit agencies for projects and programs that help meet the requirements of the Clean Air Act by reducing mobile source emissions and regional congestion on transportation networks. Eligible activities include transit improvements, travel demand management strategies, congestion relief efforts (such as high occupancy vehicle lanes), diesel retrofit projects, alternative fuel vehicles and infrastructure, and medium- or heavy-duty zero emission vehicles and related charging equipment. Projects supported with CMAQ funds must demonstrate emissions reductions, be located in or benefit a U.S. Environmental Protection Agency-designated nonattainment or maintenance area, and be a transportation project. For more information, see the <a href="https://www.fhwa.dot.gov/bipartisan-infrastructure-law/cmaq.cfm">Bipartisan Infrastructure Law CMAQ</a> fact sheet and <a href="http://www.fhwa.dot.gov/environment/air_quality/cmaq/">CMAQ Improvement Program</a> website.</p><p>(Reference <a href='https://www.congress.gov/public-laws/117th-congress'>Public Law 117-58</a>, <a href='https://www.congress.gov/public-laws/112th-congress'>Public Law 112-141</a>, <a href='https://www.govinfo.gov/'>23 U.S. Code 149</a>, and <a href='https://www.govinfo.gov/'>23 U.S. Code 151</a>)</p>
288	Clean Cities Coalition Network	US	U.S. Department of Energy	Programs	[{'id': 9, 'title': 'Programs', 'code': 'PROG'}]	[{'code': 'AFTMKTCONV', 'title': 'Aftermarket Conversions', 'category_type': 'tech'}, {'code': 'STATION', 'title': 'Alternative Fuel Infrastructure Operator', 'category_type': 'user'}, {'code': 'AFP', 'title': 'Alternative Fuel Producer', 'category_type': 'user'}, {'code': 'PURCH', 'title': 'Alternative Fuel Purchaser', 'category_type': 'user'}, {'code': 'MAN', 'title': 'Alternative Fuel Vehicle (AFV) Manufacturer / Retrofitter', 'category_type': 'user'}, {'code': 'BIOD', 'title': 'Biodiesel', 'category_type': 'tech'}, {'code': 'FLEET', 'title': 'Commercial', 'category_type': 'user'}, {'code': 'ETH', 'title': 'Ethanol', 'category_type': 'tech'}, {'code': 'ELEC', 'title': 'EVs', 'category_type': 'tech'}, {'code': 'EFFEC', 'title': 'Fuel Economy / Efficiency', 'category_type': 'tech'}, {'code': 'GOV', 'title': 'Government Entity', 'category_type': 'user'}, {'code': 'GNT', 'title': 'Grants', 'category_type': 'incentive'}, {'code': 'HEV', 'title': 'HEVs', 'category_type': 'tech'}, {'code': 'HY', 'title': 'Hydrogen Fuel Cells', 'category_type': 'tech'}, {'code': 'IR', 'title': 'Idle Reduction', 'category_type': 'tech'}, {'code': 'NG', 'title': 'Natural Gas', 'category_type': 'tech'}, {'code': 'NEVS', 'title': 'NEVs', 'category_type': 'tech'}, {'code': 'OTHER', 'title': 'Other', 'category_type': 'incentive'}, {'code': 'IND', 'title': 'Personal Vehicle Owner / Driver', 'category_type': 'user'}, {'code': 'PHEV', 'title': 'PHEVs', 'category_type': 'tech'}, {'code': 'LPG', 'title': 'Propane (LPG)', 'category_type': 'tech'}]	None	None	None	None	None	The mission of Clean Cities Coalition Network is to foster the economic, environmental, and energy security of the United States by working locally to advance affordable, domestic transportation fuels and technologies. Nearly 100 volunteer coalitions carry out this mission by developing public/private partnerships to promote alternative and renewable fuels, idle-reduction measures, fuel economy, improvements, and emerging transportation technologies. The Clean Cities Coalition Network provides information about financial opportunities, coordinates technical assistance projects, updates and maintains databases and websites, and publishes technical and informational materials. For more information, see the <a href="https://cleancities.energy.gov/">Clean Cities Coalition Network</a> website.
317	State Energy Program (SEP) Funding	US	U.S. Department of Energy	Incentives	[{'id': 8, 'title': 'Incentives', 'code': 'INC'}]	[{'code': 'BIOD', 'title': 'Biodiesel', 'category_type': 'tech'}, {'code': 'ETH', 'title': 'Ethanol', 'category_type': 'tech'}, {'code': 'ELEC', 'title': 'EVs', 'category_type': 'tech'}, {'code': 'EFFEC', 'title': 'Fuel Economy / Efficiency', 'category_type': 'tech'}, {'code': 'GNT', 'title': 'Grants', 'category_type': 'incentive'}, {'code': 'HY', 'title': 'Hydrogen Fuel Cells', 'category_type': 'tech'}, {'code': 'NG', 'title': 'Natural Gas', 'category_type': 'tech'}, {'code': 'OTHER', 'title': 'Other', 'category_type': 'user'}, {'code': 'PHEV', 'title': 'PHEVs', 'category_type': 'tech'}, {'code': 'LPG', 'title': 'Propane (LPG)', 'category_type': 'tech'}]	amended	2021-11-15	None	2021-11-15T00:00:00Z	11/29/2021	<p>The SEP provides grants to states to assist in designing, developing, and implementing renewable energy and energy efficiency programs, including programs to help reduce carbon emissions in the transportation sector by 2050 and accelerate the use of alternative transportation fuels for, and the electrification of, state government vehicles, fleet vehicles, taxis and ridesharing services, mass transit, school buses, ferries, and privately owned passenger and medium- and heavy-duty vehicles. Each state’s energy office receives SEP funding and manages all SEP-funded projects. States may also receive project funding from technology programs in the U.S. Department of Energy’s Office of Energy Efficiency and Renewable Energy (EERE) for SEP Special Projects. EERE distributes the funding through an annual competitive solicitation to state energy offices. SEP is authorized through fiscal year 2026.</p><p>For more information, see the <a href="http://energy.gov/eere/wipo/state-energy-program">SEP</a> website.</p><p>(Reference <a href='https://www.congress.gov/public-laws/117th-congress'>Public Law 117-58</a> and <a href='https://www.govinfo.gov/'>42 U.S. Code 6322 through 6325</a>)</p>
323	Clean School Bus	US	U.S. Environmental Protection Agency	Incentives	[{'id': 8, 'title': 'Incentives', 'code': 'INC'}]	[{'code': 'AFTMKTCONV', 'title': 'Aftermarket Conversions', 'category_type': 'tech'}, {'code': 'FLEET', 'title': 'Commercial', 'category_type': 'user'}, {'code': 'ETH', 'title': 'Ethanol', 'category_type': 'tech'}, {'code': 'ELEC', 'title': 'EVs', 'category_type': 'tech'}, {'code': 'EFFEC', 'title': 'Fuel Economy / Efficiency', 'category_type': 'tech'}, {'code': 'GOV', 'title': 'Government Entity', 'category_type': 'user'}, {'code': 'GNT', 'title': 'Grants', 'category_type': 'incentive'}, {'code': 'HY', 'title': 'Hydrogen Fuel Cells', 'category_type': 'tech'}, {'code': 'IR', 'title': 'Idle Reduction', 'category_type': 'tech'}, {'code': 'NG', 'title': 'Natural Gas', 'category_type': 'tech'}, {'code': 'PHEV', 'title': 'PHEVs', 'category_type': 'tech'}, {'code': 'LPG', 'title': 'Propane (LPG)', 'category_type': 'tech'}, {'code': 'TRIBAL', 'title': 'Tribal Government', 'category_type': 'user'}]	amended	2021-11-15	None	2021-11-15T00:00:00Z	8/16/2022	<p>The U.S. Environmental Protection Agency’s (EPA) Clean School Bus program provides funding to eligible applicants for the replacement of existing school buses with clean, alternative fuel school buses or zero-emission school buses. EPA may award up to 100% of the cost of the replacement bus, charging equipment, or fueling infrastructure. Alternative fuels include electricity, natural gas, hydrogen, or propane. Eligible applicants are school districts, state and local government programs, federally recognized Indian tribes, non-profit organizations, and eligible contractors. EPA will prioritize funding for high-need local education agencies; low income, rural and tribal schools; and, applications that cost share through public-private partnerships, grants from other entities, or school bonds. For more information, including funding availability, timeline, and application materials, see the EPA <a href="https://www.epa.gov/cleanschoolbus">Clean School Bus</a> website.</p><p>(Reference <a href='https://www.congress.gov/public-laws/117th-congress'>Public Law 117-58</a> and <a href='https://www.govinfo.gov/'>42 U.S. Code 16091</a>)</p>
324	Clean Construction and Agriculture	US	U.S. Environmental Protection Agency	Programs	[{'id': 9, 'title': 'Programs', 'code': 'PROG'}]	[{'code': 'PURCH', 'title': 'Alternative Fuel Purchaser', 'category_type': 'user'}, {'code': 'BIOD', 'title': 'Biodiesel', 'category_type': 'tech'}, {'code': 'FLEET', 'title': 'Commercial', 'category_type': 'user'}, {'code': 'ELEC', 'title': 'EVs', 'category_type': 'tech'}, {'code': 'GNT', 'title': 'Grants', 'category_type': 'incentive'}, {'code': 'HEV', 'title': 'HEVs', 'category_type': 'tech'}, {'code': 'HY', 'title': 'Hydrogen Fuel Cells', 'category_type': 'tech'}, {'code': 'NG', 'title': 'Natural Gas', 'category_type': 'tech'}, {'code': 'OTHER', 'title': 'Other', 'category_type': 'user'}, {'code': 'PHEV', 'title': 'PHEVs', 'category_type': 'tech'}, {'code': 'LPG', 'title': 'Propane (LPG)', 'category_type': 'tech'}]	None	None	None	None	None	Clean Construction is a voluntary program that promotes the reduction of diesel exhaust emissions from construction equipment and vehicles by encouraging proper operations and maintenance, use of emissions-reducing technologies, and use of cleaner fuels.</p><p>\nClean Agriculture is a voluntary program that promotes the reduction of diesel exhaust emissions from agricultural equipment and vehicles by encouraging proper operations and maintenance by farmers, ranchers, and agribusinesses, use of emissions-reducing technologies, and use of cleaner fuels.</p><p>Clean Construction and Clean Agriculture are part of the U.S. Environmental Protection Agency's <a href="http://www.epa.gov/cleandiesel/" target="_blank" rel="noopener noreferrer">Diesel Emissions Reduction Act (DERA) Program</a>, which offers funding for clean diesel construction and agricultural equipment projects.</p><p>For more information, see the <a href="https://www.epa.gov/dera/reducing-diesel-emissions-construction-and-agriculture">Reducing Diesel Emissions from Construction and Agriculture</a> website.\n\n
325	Ports Initiative	US	U.S. Environmental Protection Agency	Programs	[{'id': 9, 'title': 'Programs', 'code': 'PROG'}]	[{'code': 'BIOD', 'title': 'Biodiesel', 'category_type': 'tech'}, {'code': 'FLEET', 'title': 'Commercial', 'category_type': 'user'}, {'code': 'ELEC', 'title': 'EVs', 'category_type': 'tech'}, {'code': 'GOV', 'title': 'Government Entity', 'category_type': 'user'}, {'code': 'GNT', 'title': 'Grants', 'category_type': 'incentive'}, {'code': 'HEV', 'title': 'HEVs', 'category_type': 'tech'}, {'code': 'HY', 'title': 'Hydrogen Fuel Cells', 'category_type': 'tech'}, {'code': 'NG', 'title': 'Natural Gas', 'category_type': 'tech'}, {'code': 'OTHER', 'title': 'Other', 'category_type': 'incentive'}, {'code': 'PHEV', 'title': 'PHEVs', 'category_type': 'tech'}, {'code': 'LPG', 'title': 'Propane (LPG)', 'category_type': 'tech'}]	None	None	None	None	None	The U.S. Environmental Protection Agency's (EPA) Ports Initiative is an incentive-based program designed to reduce emissions by encouraging port authorities and terminal operators to retrofit and replace older diesel engines with new technologies and use cleaner fuels. EPA's Ports Initiative offers funding to port authorities and public entities to help them overcome barriers that impede the adoption of cleaner diesel technologies and strategies. For more information, see the <a href="https://www.epa.gov/ports-initiative">Ports Initiative</a> website.
344	Vehicle Incremental Cost Allocation	US	U.S. General Services Administration	Laws and Regulations	[{'id': 5, 'title': 'Laws and Regulations', 'code': 'LAWREG'}]	[{'code': 'REQ', 'title': 'Acquisition / Fuel Use', 'category_type': 'regulation'}, {'code': 'BIOD', 'title': 'Biodiesel', 'category_type': 'tech'}, {'code': 'ETH', 'title': 'Ethanol', 'category_type': 'tech'}, {'code': 'ELEC', 'title': 'EVs', 'category_type': 'tech'}, {'code': 'GOV', 'title': 'Government Entity', 'category_type': 'user'}, {'code': 'HY', 'title': 'Hydrogen Fuel Cells', 'category_type': 'tech'}, {'code': 'NG', 'title': 'Natural Gas', 'category_type': 'tech'}, {'code': 'PHEV', 'title': 'PHEVs', 'category_type': 'tech'}, {'code': 'LPG', 'title': 'Propane (LPG)', 'category_type': 'tech'}]	amended	2005-08-08	1992-10-24T00:00:00Z	2005-08-08T00:00:00Z	None	The U.S. General Services Administration (GSA) must allocate the incremental cost of purchasing alternative fuel vehicles (AFVs) across the entire fleet of vehicles distributed by GSA. This mandate also applies to other federal agencies that procure vehicles for federal fleets. For more information, see the GSA's  <a href="http://www.gsa.gov/afv" target="_blank" rel="noopener noreferrer">AFV</a> website. (Reference 42 <a href="https://www.govinfo.gov/" target="_blank" rel="noopener noreferrer">U.S. Code</a> 13212 (c))
347	Vehicle Acquisition and Fuel Use Requirements for State and Alternative Fuel Provider Fleets	US	U.S. Department of Energy	Laws and Regulations	[{'id': 5, 'title': 'Laws and Regulations', 'code': 'LAWREG'}]	[{'code': 'REQ', 'title': 'Acquisition / Fuel Use', 'category_type': 'regulation'}, {'code': 'BIOD', 'title': 'Biodiesel', 'category_type': 'tech'}, {'code': 'FLEET', 'title': 'Commercial', 'category_type': 'user'}, {'code': 'ETH', 'title': 'Ethanol', 'category_type': 'tech'}, {'code': 'ELEC', 'title': 'EVs', 'category_type': 'tech'}, {'code': 'EFFEC', 'title': 'Fuel Economy / Efficiency', 'category_type': 'tech'}, {'code': 'GOV', 'title': 'Government Entity', 'category_type': 'user'}, {'code': 'HY', 'title': 'Hydrogen Fuel Cells', 'category_type': 'tech'}, {'code': 'NG', 'title': 'Natural Gas', 'category_type': 'tech'}, {'code': 'PHEV', 'title': 'PHEVs', 'category_type': 'tech'}, {'code': 'LPG', 'title': 'Propane (LPG)', 'category_type': 'tech'}]	amended	2007-03-20	1992-10-24T00:00:00Z	2007-03-20T00:00:00Z	1/2/2015	Under the Energy Policy Act (EPAct) of 1992, as amended, certain state government and alternative fuel provider fleets are required to acquire alternative fuel vehicles (AFVs) as a portion of their annual light-duty vehicle acquisitions. Compliance is required by fleets that operate, lease, or control 50 or more light-duty vehicles within the United States. Of those 50 vehicles, at least 20 must be used primarily within a single Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area, and those same 20 vehicles must also be capable of being centrally fueled for the fleet to be subject to the regulatory requirements.</p><p>Under <a href="https://epact.energy.gov/standard-compliance">Standard Compliance</a>, the AFVs that covered fleets acquire help them achieve compliance, with each AFV acquired earning the fleet one AFV-acquisition credit. Covered fleets may earn additional credits for AFVs earned in excess of their requirements, and these credits may be banked for future use toward compliance or traded with other fleets. Additionally, fleets that use fuel blends containing at least 20% biodiesel (B20) in medium- and heavy-duty vehicles may earn credits toward their annual AFV-acquisition requirements. A fleet may also earn credits that may be used toward compliance or banked once the fleet achieves compliance for investments in alternative fuel infrastructure, mobile non-road equipment, and emerging technologies associated with certain electric drive vehicle technologies.</p><p>Fleets may also opt into <a href="https://epact.energy.gov/alternative-compliance">Alternative Compliance</a>, which allows fleets the option to choose a petroleum reduction path in lieu of acquiring AFVs under Standard Compliance. Interested fleets must obtain from DOE a waiver from Standard Compliance by submitting a plan that demonstrates a path by which they will achieve a certain level of petroleum reduction specific to their fleet composition.</p><p>For more information, visit the <a href="https://epact.energy.gov/">EPAct State and Alternative Fuel Provider Fleets</a> website. </p><p>(Reference 42 <a href="https://www.govinfo.gov/">U.S. Code</a> 13251 and 13263a, and 10 <a href="https://www.govinfo.gov/">CFR</a> 490)
357	Vehicle Acquisition and Fuel Use Requirements for Federal Fleets	US	U.S. Department of Energy	Laws and Regulations	[{'id': 5, 'title': 'Laws and Regulations', 'code': 'LAWREG'}]	[{'code': 'REQ', 'title': 'Acquisition / Fuel Use', 'category_type': 'regulation'}, {'code': 'BIOD', 'title': 'Biodiesel', 'category_type': 'tech'}, {'code': 'ETH', 'title': 'Ethanol', 'category_type': 'tech'}, {'code': 'ELEC', 'title': 'EVs', 'category_type': 'tech'}, {'code': 'EFFEC', 'title': 'Fuel Economy / Efficiency', 'category_type': 'tech'}, {'code': 'GOV', 'title': 'Government Entity', 'category_type': 'user'}, {'code': 'HEV', 'title': 'HEVs', 'category_type': 'tech'}, {'code': 'HY', 'title': 'Hydrogen Fuel Cells', 'category_type': 'tech'}, {'code': 'NG', 'title': 'Natural Gas', 'category_type': 'tech'}, {'code': 'PHEV', 'title': 'PHEVs', 'category_type': 'tech'}, {'code': 'LPG', 'title': 'Propane (LPG)', 'category_type': 'tech'}, {'code': 'TRIBAL', 'title': 'Tribal Government', 'category_type': 'user'}]	amended	2021-01-27	1992-10-24T00:00:00Z	2021-01-27T00:00:00Z	4/6/2021	Under the Energy Policy Act (EPAct) of 1992, 75% of new light-duty vehicles acquired by covered federal fleets must be alternative fuel vehicles (AFVs). As amended in January 2008, Section 301 of EPAct 1992 expands the definition of AFVs to include hybrid electric vehicles, fuel cell vehicles, and advanced lean burn vehicles. Fleets that use fuel blends containing at least 20% biodiesel (B20) may earn credits toward their annual requirements. Federal fleets are also required to use alternative fuels in dual-fuel vehicles unless the U.S. Department of Energy (DOE) approves waivers for agency vehicles; grounds for a waiver include lack of alternative fuel availability and unreasonable cost (per EPAct 2005, section 701).</p><p>Additional requirements for federal fleets were included in the <a href="http://www.afdc.energy.gov/laws/eisa">Energy Independence and Security Act of 2007</a>, such as fleet management plans and petroleum reduction from 2005 levels (Section 142), low greenhouse gas (GHG) emitting vehicle acquisition requirements (Section 141), and renewable fuel infrastructure installation requirements (Section 246). For more information, see the <a href="https://federalfleets.energy.gov/">Federal Fleet Management</a> website.</p><p>To track progress toward meeting AFV acquisition and fuel use requirements, federal fleets must report on their percent alternative fuel increase compared to the fiscal year 2005 baseline, alternative fuel use as a percentage of total fuel consumption, AFV acquisitions as a percentage of vehicle acquisitions, and fleet-wide miles per gasoline gallon equivalent of petroleum fuels.</p><p>Executive Order 13834, issued in May 2018, requires the Secretary of Energy (Secretary), in coordination with the Secretary of Defense, the Administrator of General Services, and the heads of other agencies as appropriate, to review the existing federal vehicle fleet requirements. In April 2019, the Secretary provided a report to the Chairman of the Council on Environmental Quality and the Director of the Office of Management and Budget detailing opportunities to optimize federal fleet performance, reduce associated costs, and streamline reporting and compliance requirements. Specifically, the report recommends that federal agencies identify and implement strategies to:<ul><li>Right-size the fleet<li>Reduce vehicle miles traveled<li>Implement more fuel efficient vehicles<li>Align the implementation of AFVs and associated fueling infrastructure</ul>Executive Order 14008, issued in January 2021, requires the Chair of the Council on Environmental Quality, the Administrator of General Services, and the Director of the Office and Management and Budget, in coordination with the Secretary of Commerce, the Secretary of Labor, the Secretary, and the heads of other relevant agencies, to assist the National Climate Advisor in developing a comprehensive plan to facilitate clean and zero-emission vehicles for federal, state, local, and tribal government fleets, including vehicles of the U.S. Postal Service. The plan must be submitted to the National Climate Task Force by April 27, 2021.</p><p><p>(Reference 42 <a href="https://www.govinfo.gov/">U.S. Code</a> 13212 and <a href="https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-11101.pdf">Executive Order 13834</a> and <a href="https://www.govinfo.gov/content/pkg/FR-2021-02-01/pdf/2021-02177.pdf">Executive Order 14008</a>)</p>
358	Vehicle Acquisition and Fuel Use Requirements for Private and Local Government Fleets	US	U.S. Department of Energy	Laws and Regulations	[{'id': 5, 'title': 'Laws and Regulations', 'code': 'LAWREG'}]	[{'code': 'REQ', 'title': 'Acquisition / Fuel Use', 'category_type': 'regulation'}, {'code': 'BIOD', 'title': 'Biodiesel', 'category_type': 'tech'}, {'code': 'FLEET', 'title': 'Commercial', 'category_type': 'user'}, {'code': 'ETH', 'title': 'Ethanol', 'category_type': 'tech'}, {'code': 'ELEC', 'title': 'EVs', 'category_type': 'tech'}, {'code': 'GOV', 'title': 'Government Entity', 'category_type': 'user'}, {'code': 'HY', 'title': 'Hydrogen Fuel Cells', 'category_type': 'tech'}, {'code': 'NG', 'title': 'Natural Gas', 'category_type': 'tech'}, {'code': 'PHEV', 'title': 'PHEVs', 'category_type': 'tech'}, {'code': 'LPG', 'title': 'Propane (LPG)', 'category_type': 'tech'}]	amended	2008-03-14	1992-10-24T00:00:00Z	2008-03-14T00:00:00Z	None	Under the Energy Policy Act (EPAct) of 1992, the U.S. Department of Energy (DOE) was directed to determine whether private and local government fleets should be mandated to acquire alternative fuel vehicles (AFVs). In January 2004, DOE published a final rule announcing its decision not to implement an AFV acquisition mandate for private and local government fleets. In response to a March 2006 ruling by a U.S. District Court, DOE issued a subsequent final rulemaking on the new Replacement Fuel Goal in March 2007, which extended the EPAct 1992 goal to 2030. The goal is to achieve a domestic production capacity for replacement fuels sufficient to replace 30% of the U.S. motor fuel consumption. In March 2008, DOE issued its determination not to implement a fleet compliance mandate for private and local government fleets, concluding that such a mandate is not necessary to achieve the Replacement Fuel Goal. For more information on the Private and Local Government Fleet Rule compliance, visit the <a href="https://epact.energy.gov/about">EPAct Private and Local Government Fleet Determination</a> website. (Reference 42 <a href="https://www.govinfo.gov/">U.S. Code</a> 13257)
